TID,Type,EngTitle,EngMainScript,EngProgressScript,EngFinishScript,EngMiniBarFinish,LocalTitle,LocalMainScript,LocalProgressScript,LocalFinishScript,LocalMiniBarFinish,Area,Grade,Level,Repeat,RepeatDay,Share,StartType,StartValue,StartCinemaTID,FinishType,FinishValue,FinishCinemaTID,TimeOut,PrevQuest,NextQuest,DemandRace,DemandLowLv,DemandMaxLv,DemandWeapon,DemandWLv,GiveItem1,GiveItemCnt1,GiveItem2,GiveItemCnt2,EventTID,MissionTID,RewardTID,DropTID
54143,1,QUT_Title_002329,QUT_Main_002329,QUT_Progress_002329,QUT_Finish_002329,QUT_Mini_002329,远藤在箱子里吗？,如果你拥有自己的能力jotgetjyo试图indeon当事人也考验自己的极限。 / N / N <TC'163：21：21“文本”党indeon轮4“/>基督城<TC'163 :: 21 21”文本“狼人狂战士，杀手，全歼党'/>和他证明你的技能。,<TC'163：21：21“文本”远藤的攻击瓶“/>你想得分，而不是进口的东西变成什么领导？,它完全密封箱。这将取代我听说过吗？,火用卡和对话在休息之谷,1205,0,44,0,0,1,1,54074,0,1,54074,0,0,54151|54152,54145|54146|54147,2|4,44,99,0,0,0,0,0,0,0,540143,154143,0
54144,1,QUT_Title_002330,QUT_Main_002330,QUT_Progress_002330,QUT_Finish_002330,QUT_Mini_002330,远藤的哭声,如果你拥有自己的能力jotgetjyo试图indeon当事人也考验自己的极限。 / N / N <TC'163：21：21“文本”党indeon轮4“/>基督城<TC'163 :: 21 21”文本“狼人狂战士，杀手，全歼党'/>和他证明你的技能。,对我们来说，<TC'163：21：21“文本”月桂树上“/>在<TC'163：21：21”文本“十二坚果”/>请救援。,谢谢大家！我会立刻传送到学院！,火用卡和对话在休息之谷,1205,0,44,0,0,1,1,54074,0,1,54074,0,0,54142,0,2|4,44,99,0,0,0,0,0,0,0,540144,154144,0
54145,1,QUT_Title_002331,QUT_Main_002331,QUT_Progress_002331,QUT_Finish_002331,QUT_Mini_002331,炸弹交付,如果你拥有自己的能力jotgetjyo试图indeon当事人也考验自己的极限。 / N / N <TC'163：21：21“文本”党indeon轮4“/>基督城<TC'163 :: 21 21”文本“狼人狂战士，杀手，全歼党'/>和他证明你的技能。,?<TC'163：21：21“文本”远藤的轰炸机“/>如果你站在面临的火山弹瞄准我们，留会造成很大的问题。在此之前，请杀死所有的人。,这是bangsimhal人不能。很高兴能得到很好的完成。,火用卡和对话在休息之谷,1205,0,44,0,0,1,1,54074,0,1,54074,0,0,54143,0,2|4,44,99,0,0,0,0,0,0,0,540145,154145,0
54146,1,QUT_Title_002332,QUT_Main_002332,QUT_Progress_002332,QUT_Finish_002332,QUT_Mini_002332,破碎防火墙,如果你拥有自己的能力jotgetjyo试图indeon当事人也考验自己的极限。 / N / N <TC'163：21：21“文本”党indeon回合5“/>在<TC'163：21：21”文本“拉米亚重的冠军，重型弓箭手，重向导”/>杀死信心证明你的技能。,<TC'163：21：21“文本”远藤氏病仙剑奇侠传“/>请进球！我们放下屏障树！,成功了！这个障碍已被打破！,火用卡和对话在休息之谷,1205,0,44,0,0,1,1,54074,0,1,54074,0,0,54144,0,2|4,44,99,0,0,0,0,0,0,0,540146,154146,0
54147,1,QUT_Title_002333,QUT_Main_002333,QUT_Progress_002333,QUT_Finish_002333,QUT_Mini_002333,摆脱碳酸酯类cheolbyeok的,如果你拥有自己的能力jotgetjyo试图indeon当事人也考验自己的极限。 / N / N <TC'163：21：21“文本”党indeon回合5“/>在<TC'163：21：21”文本“拉米亚重的冠军，重型弓箭手，重向导”/>杀死信心证明你的技能。,Teurigo按下<TC'163 :: 21 21'碳酸酯类cheolbyeok“/文本”>请带来胜利给我们的拆迁。,火山的长度发生了。现在开始进入！,火用卡和对话在休息之谷,1205,0,44,0,0,1,1,54074,0,1,54074,0,0,54145,0,2|4,44,99,0,0,0,0,0,0,0,540147,154147,0
54148,1,QUT_Title_002334,QUT_Main_002334,QUT_Progress_002334,QUT_Finish_002334,QUT_Mini_002334,远藤的冠军球衣,如果你拥有自己的能力jotgetjyo试图indeon当事人也考验自己的极限。 / N / N <TC'163：21：21“文本”党indeon回合5“/>在<TC'163：21：21”文本“拉米亚重的冠军，重型弓箭手，重向导”/>杀死信心证明你的技能。,援助的<TC'163 :: 21 21“文本”远藤的冠军“/>，以帮助传播这一jusipsyo可以安全地完成。,本来哪怕只是有点晚了。我们都筋疲力尽。谢谢。,在休息的山谷放松和对话点,1205,0,43,0,0,1,1,54075,0,1,54075,0,0,54008,54150,2|4,43,99,0,0,0,0,0,0,0,540148,154148,0
54149,1,QUT_Title_002335,QUT_Main_002335,QUT_Progress_002335,QUT_Finish_002335,QUT_Mini_002335,远藤苏调研,如果你拥有自己的能力jotgetjyo试图indeon当事人也考验自己的极限。 / N / N <TC'163：21：21“文本”党indeon回合5“/>在<TC'163：21：21”文本“拉米亚重的冠军，重型弓箭手，重向导”/>杀死信心证明你的技能。,杀<TC'163 :: 21 21“文本”远藤的冠军'/>和<TC'163：21：21“文本”火山研究“/>的次数就请。,谢谢大家！非常感谢！他甚至无法阻止什么我的研究激情！,塞梅尔和其他地区的山谷对话,1205,0,43,0,0,1,1,54076,0,1,54076,0,0,54008,0,2|4,43,99,0,0,0,0,0,0,0,540149,154149,0
54150,1,QUT_Title_002336,QUT_Main_002336,QUT_Progress_002336,QUT_Finish_002336,QUT_Mini_002336,密封景观,如果你拥有自己的能力jotgetjyo试图indeon当事人也考验自己的极限。 / N / N <TC'163：21：21“文本”党indeon回合5“/>在<TC'163：21：21”文本“拉米亚重的冠军，重型弓箭手，重向导”/>杀死信心证明你的技能。,<TC'163：21：21'文本'火炬'/> jusipsyo使用。的家伙那该死的目光都将是无用的。,这个数字甚至不惹我真的振兴！,在休息的山谷放松和对话点,1205,0,43,0,0,1,1,54075,0,1,54075,0,0,54148,54151|54152,2|4,43,99,0,0,25678,1,0,0,0,540150,154150,0
54151,1,QUT_Title_002337,QUT_Main_002337,QUT_Progress_002337,QUT_Finish_002337,QUT_Mini_002337,远藤的猎人杀死,如果你拥有自己的能力jotgetjyo试图indeon当事人也考验自己的极限。 / N / N <TC'163：21：21“文本”党indeon第6轮“/>在<TC'163：21：21”文本“半人马座金戈铁马，装甲狙击手，作战指挥官”/>的得分和他自己证明你的技能。,<TC'163：21：21“文本”远藤的猎人“/>处理所有的jusipsyo。,我听到洗牌一边清理阶段。感谢所有英雄的。谢谢。,在休息的山谷放松和对话点,1205,0,43,0,0,1,1,54075,0,1,54075,0,0,54150,0,2|4,43,99,0,0,0,0,0,0,0,540151,154151,0
54152,1,QUT_Title_002338,QUT_Main_002338,QUT_Progress_002338,QUT_Finish_002338,QUT_Mini_002338,摆脱无情nelke的,我收到了光明神殿的紧急呼叫。在调查的pulbit我已经找到了术士rokan的实验室的源草原蔓延的黑暗势力。 / N / N rokan知道这个实验中，我们需要确保在实验中进行。 / N / N <TC'163：21：21“文本”的实验室普通难度“rokan />提高到rokan在<TC'163：21：21”文本“哥布林”/>教会<TC的'163 ：21：21“文本”收回肉“/>精灵告诉他玛丽发送到实验室门口。,远藤在间歇泉地区的部队指挥<TC'163：21：21'文本'无情nelke“/>如果你杀了，你将结束这一切的沉重使命。,我告诉间歇泉区夺回新闻奴役月神。当然，实现youngungnim都活在别人不担心我不会忘记！,在休息的山谷放松和对话点,1205,0,43,0,0,1,1,54075,0,1,54075,0,0,54150,0,2|4,43,99,0,0,0,0,0,0,0,540152,154152|450369|450370|450371|450372|450443,0
54153,1,QUT_Title_002339,QUT_Main_002339,QUT_Progress_002339,QUT_Finish_002339,QUT_Mini_002339,间歇泉热水,如果增强的妖精袭击了我们的pulbit草甸目前还没有办法使艺术。因此，让我们拖地精增强时间攻击pulbit草地前打扰他们。 / N / N如果已经加强，以使用地精的军队肯定会指挥员指挥他们。 / N / N <TC'163：21：21“文本”实验室rokan的普通难度“/>在<TC'163：21：21”文本“队长布莱恩”/>请进球。,对我来说，<TC'163：21：21“文本”土地污染“/>你会不会带来收集<热水间歇泉'/文本TC'163 :: 21 21''>？,然后。不管你干扰，我会尽我所能。 Hathathat！,塞梅尔和其他地区的山谷对话,1205,0,43,0,0,1,1,54076,0,1,54076,0,0,54154,54155,2|4,43,99,0,0,0,0,0,0,0,540153,154153,0
54154,1,QUT_Title_002340,QUT_Main_002340,QUT_Progress_002340,QUT_Finish_002340,QUT_Mini_002340,不要与研究干预,由暗能量来看是感到rokan实验室清除，这是比小妖精加强研究实验的进行。 / N / n're特别在意扭曲不死的光环。所以只是将不得不收集更多的材料，掌握实验rokan。 / N / N <：21：21“文本”被诅咒的样本“/和<TC 163 163：21：21 <TC'163：21 21”文本TC>“在rokan”/实验室困难>“ “文本”扭曲标本“/>和治疗<TC'163：21：21请获得肉体”/>在“文本”机构。,我完全让你可以学习<TC'163：21：21“文本”远藤的猎人“/>请进球。,Now'd扯淡事实并非如此。谢谢大家！,塞梅尔和其他地区的山谷对话,1205,0,43,0,0,1,1,54076,0,1,54076,0,0,54008,54155,2|4,43,99,0,0,0,0,0,0,0,540154,154154,0
54155,1,QUT_Title_002341,QUT_Main_002341,QUT_Progress_002341,QUT_Finish_002341,QUT_Mini_002341,地狱犬的液体,我的领导能力是不是在印度陶努斯KWAM所有标本。所以getgunyo连我必须完成他们的痛苦是不可避免的。 / N / N <：21：21“文本”被诅咒的样本“/和<TC 163 163：21：21 <TC'163：21 21”文本TC>“在rokan”/实验室困难>“ “文本”请杀了扭曲的标本“/>。,<TC'163：21：21“文本”暴力地狱犬'/>和治疗<TC'163：21：21“文本”体液地狱犬“/>带上jusipsyo。,Color'm一闻，甚至厌恶。谢谢。,塞梅尔和其他地区的山谷对话,1205,0,43,0,0,1,1,54076,0,1,54076,0,0,54154,54156,2|4,43,99,0,0,0,0,0,0,0,540155,154155,0
54156,1,QUT_Title_002342,QUT_Main_002342,QUT_Progress_002342,QUT_Finish_002342,QUT_Mini_002342,摆脱marak doknui的,侦察员报告说，它已经找到了一个强大的标本。 / N / N想见，做nwadumyeon肯定是一个对我们的威胁$的GetName（）我一定是看了得分时gyesil。 / N / N <TC'163：21：21“文本”rokan实验室困难“/>在<TC'163：21：21”文本“马克思大官标本”/>请杀死。,与<TC'163：21 21'文/“烟幕弹混淆”> <TC'163：21：21'doknui“/文本”marak>请一定要吸引堂！,Hwalyaksang家伙一个破发点，以我的头就知道乔·阿里？然后。你看的地方。,塞梅尔和其他地区的山谷对话,1205,0,43,0,0,1,1,54076,0,1,54076,0,0,54155,0,2|4,43,99,0,0,25886,1,0,0,0,540156|541156,154156,0
54157,1,QUT_Title_002343,QUT_Main_002343,QUT_Progress_002343,QUT_Finish_002343,QUT_Mini_002343,抓到的朋友,兽人亡灵加强和创造这个实验的最终目的是yeotdamyeon rokan就已经完成。然而，实验也在继续。所以会发生的故事对方球门。 / N / N，我们需要做rokan也行动为未来的最终结果。 / N / N <TC'163：21：21“文本”实验室是rokan的/非常困难“>在最后的rokan的，请获得<TC'163 :: 21 21”文本“检测报告”/>。,吹岛波友谊偷偷<TC'163：21：21“文本”页面选择“/>，想抢救。这是问。,四，帮我.......,搜索挑特内里费岛友好击波,1205,0,44,0,0,1,1,54077,0,1,54078,0,0,54151|54152,54158|54159,2|4,44,99,0,0,0,0,0,0,0,540157,154157,0
54158,1,QUT_Title_002344,QUT_Main_002344,QUT_Progress_002344,QUT_Finish_002344,QUT_Mini_002344,勒索和毒药,研究不能让这继续成为rokan是pulbit草地的和平。 /为了停止实验N / N rokan我会摆脱rokan的最佳途径。 / N / N <TC'163：21：21“文本”实验室rokan非常困难“/>在<TC'163：21：21”文本“rokan”/>请进球。,<TC'163：21：21“文本”远藤的攻击瓶“/>这家伙<TC'163：21：21”文本“远藤的清热解毒药”/>已经得到。给我关于远藤的从他身上解毒。,那是什么？快来给我！,在休息的谷选择页面和对话,1205,0,44,0,0,1,1,54078,0,1,54078,0,0,54157,54160,2|4,44,99,0,0,0,0,0,0,0,540158,154158,0
54159,1,QUT_Title_002345,QUT_Main_002345,QUT_Progress_002345,QUT_Finish_002345,QUT_Mini_002345,密封纪念碑破坏,到目前为止，我们被jeojiseon经济衰退的情况有关中学的恶灵攻击。 / N / N2 jeojiseon这款车ttulrimyeon不能阻止我们，甚至更多。因此，<TC'163：21：21“文本”的深渊圣殿普通难度“/>在<TC'163：21：尺寸21”文本“邪恶”/>为计分，请阻止他们攻击jeojiseon。,虽然使用这些信息通过卸载的方式！的青睐。给摧毁了<TC'163 :: 21 21“文本”封碑“/>。,这是。我觉得解放了双脚！谢谢！,在休息的谷选择页面和对话,1205,0,44,0,0,1,1,54078,0,1,54078,0,0,54157,54160,2|4,44,99,0,0,0,0,0,0,0,540159,154159,0
54160,1,QUT_Title_002346,QUT_Main_002346,QUT_Progress_002346,QUT_Finish_002346,QUT_Mini_002346,选择救援页,令人尴尬的故事，但在突然惊恐发作，送完也chaenggiji没有退路，我们永远不会有。 / N / N我们还建设了严峻的形势jeojiseon上午$的GetName（）写的代表请你收集的物资我们。 / N / N'“</在<TC'163：21 <TC'163：21 21”：21 21“文本”耗材盒163文本TC>中的存在/深渊圣殿普通难度>'“： 21.请收回的“文本”耗材“/>。,我的朋友<TC'163：21：21'文本'成熟'/>倒是给我的地方。,谢谢拿起comfortable.Chris页面。如果我没有报答这个恩惠是好的。,在休息的谷对话和的熟,1205,0,44,0,0,0,1,54078,0,1,54077,0,0,54158|54159,54161,2|4,44,99,0,0,0,0,0,0,0,540160,154160,0
54161,1,QUT_Title_002347,QUT_Main_002347,QUT_Progress_002347,QUT_Finish_002347,QUT_Mini_002347,除了风险,裂缝的尺寸相当一块裂缝与调查所需要的尺寸的守护者。 / N / N <TC'163：21：21“文本”深渊圣殿难“/>守护在夹缝中的<TC'163：21：21”文本“笃”/>杀死和<TC“163： 21:21“文本”，请收回这块“/>的裂缝。,<TC'163：21：21“文本”远藤氏病仙剑奇侠传“/>进行打分，让我不同。,我真的很感谢你们。酋长看着hasyeotjiman不同的命令永远不要披露，不管你怎么想的事情也应该认为我们可以解决maneuron。 / N / N的核心叛乱高呼反拆迁的力量现在已经聚集在火山红发。原谅我们犯的错误，并保存所有修改走去。 / N / N炉巨头将gieoko年底毁了我们所有人。,在休息的谷对话和的熟,1205,0,44,0,0,1,1,54077,0,1,54077,0,0,54160|54143,0,2|4,44,99,0,0,0,0,0,0,0,540161,154161,0
54162,1,QUT_Title_002348,QUT_Main_002348,QUT_Progress_002348,QUT_Finish_002348,QUT_Mini_002348,蒸汽，涵盖了高原,邪恶的车手继续袭击我们。 / N / N，我们需要先帮助骑车人的精神，以安全地到达我们的深渊的寺庙。 / N / N 163：21：21“<：21的骑手21'文'精神'和<TC / 163 <TC'163：21 21”中的文本TC>“/深渊”的寺庙困难>“ >中/辟邪“文本”必须帮助骑手“。,的成分的<TC'：21：163 21“文本”艾尔池“/>带供体。,有了这个，我抓到的家伙的尾巴。,刘奔交谈红发的火山,1205,0,44,0,0,1,1,54092,0,1,54092,0,0,0,54163|54164,2|4,44,99,0,0,0,0,0,0,0,540162,154162|401085|401086,0
54163,1,QUT_Title_002349,QUT_Main_002349,QUT_Progress_002349,QUT_Finish_002349,QUT_Mini_002349,摆脱巫师空气,损坏的侦察员增加由红屠宰扎拉叫看门人。为了减少侦察技能的影响，这将需要你gisanim帮助红军杀手。 / N / N <TC'163：21：21'文本'庙的深渊非常困难“/>红杀手在<TC'163：21：21”文本“莱斯蚂蚁”/>你需要杀死。,<TC'163：21：21“的冷空气文字”“/>当您使用水蒸气丢失，你就必须揭示空气萨满的形状。 <TC'163：21：21“文本”萨满空气“/>给它的注意。,现在，水蒸汽得消失。谢谢大家！,刘奔交谈红发的火山,1205,0,44,0,0,1,1,54092,0,1,54092,0,0,54162,54013|54167,2|4,44,99,0,0,25688,1,0,0,0,540163|541163,154163,0
54164,1,QUT_Title_002350,QUT_Main_002350,QUT_Progress_002350,QUT_Finish_002350,QUT_Mini_002350,蒸汽发生器,存在于寺庙深处尺寸的监护人是为了保护古质押萨麦尔。为了打破A / N / N古老的承诺，我们首先需要援助方面的堕落捍卫者。 / N / N <TC'163：21：21“文本”寺庙非常深渊难度“/>在<TC'163：21：21”文本“堕落尺寸的守护者”/>必须杀死。,在侦察员的话它放在一个单独的设备，用于产生蒸汽。 <TC'163：21：21“文本”蒸汽发生器“/>给被毁。,Itgun失去了动力。老感谢你们！,刘奔交谈红发的火山,1205,0,44,0,0,1,1,54092,0,1,54092,0,0,54162,0,2|4,44,99,0,0,0,0,0,0,0,540164,154164,0
54165,1,QUT_Title_002351,QUT_Main_002351,QUT_Progress_002351,QUT_Finish_002351,QUT_Mini_002351,心脏熊冲锋haeohneun,为确保完成这一<TC'163：21：21'文本'庙的深渊非常困难“/>从得分<TC'163 :: 21 21”文本“堕落门将萨麦尔'/>和他有您必须恢复<TC'163 :: 21 21“文本”证书承诺“/>。,<TC'163：21：21“文本”高级武士熊心“/>的there.Aye援助。,他们已经打破yeotne的势头。你也是伟大的！,刘奔交谈红发的火山,1205,0,44,0,0,1,1,54092,0,1,54092,0,0,0,54166,2|4,44,99,0,0,0,0,0,0,0,540165,154165,0
54166,1,QUT_Title_002352,QUT_Main_002352,QUT_Progress_002352,QUT_Finish_002352,QUT_Mini_002352,摆脱凶康特的,这个神秘的工厂在球探东南报告说，土著人。 / N / N来分析生活在这里的要求只存在于yigye的气息。因此，为了研究“<163 :: 21 21''yigye果'/文本<TC'163：21 21'文字请在TC>收集深渊”/寺庙困难>“。,<TC'163：21：21“文/”以极快的康特'> teurigo下来，长谷川占用水汽高原！,现在，我们必须拿起水汽高原！能力组的所有伟大的传闻英雄！,刘奔交谈红发的火山,1205,0,44,0,0,1,1,54092,0,1,54092,0,0,54165,54177,2|4,44,99,0,0,0,0,0,0,0,540166,154166,0
54167,1,QUT_Title_002353,QUT_Main_002353,QUT_Progress_002353,QUT_Finish_002353,QUT_Mini_002353,研磨机的残余,土匪占据kyurioh扫雷地图已超过两个月。 / N / N随着时间的盗贼都强化我做我的。所以，我们也不能等待了。 / N / N为了夺回矿井，我们就越要开始操作夺回之前，为时已晚。 / N / N <TC'163：21：21“文本”kyurioh扫雷普通难度“/>在<TC'163：21：21”文本“强盗战士”/>和<TC'163：21：21'文本“劫匪狙击手”/>请杀年tobeoldae提供了一个跳板，进入矿井。,<TC'163：21：21'文本'磨床志愿者“/>请进球。,再次感谢你，对不起。我没有受伤，哪怕只是.......,红色头发的火山Kaswi对话,1205,0,44,0,0,1,1,54093,0,1,54093,0,0,54163,54168|54169,2|4,44,99,0,0,0,0,0,0,0,540167,154167,0
54168,1,QUT_Title_002354,QUT_Main_002354,QUT_Progress_002354,QUT_Finish_002354,QUT_Mini_002354,拆迁的骄傲,Kyurioh闯进去矿已被送往侦察新的信息。傀儡控制开采和她的研究发现，行为傀儡。 / N / N kyurioh扫雷的傀儡它是目前正在使用强盗的武器。因此，这可以防止强盗，你需要调整傀儡夺回我的。 / N / N <TC'163：21：21“文本”kyurioh扫雷的困难“/>在<TC'163：21：21”文本“挖掘傀儡信条淡'/>和<TC'163：21：请摧毁21“文本”命令傀儡更大的贝尔纳'/>一个。,<TC'163：21：21“文本”突击队瓶磨床“/> teurigo按下<TC'163：21：21”文本“战利品袋”/>请恢复。,有了这个，我希望我能放松同事闭上眼睛。,红色头发的火山Kaswi对话,1205,0,44,0,0,1,1,54093,0,1,54093,0,0,54167,0,2|4,44,99,0,0,0,0,0,0,0,540168,154168,0
54169,1,QUT_Title_002355,QUT_Main_002355,QUT_Progress_002355,QUT_Finish_002355,QUT_Mini_002355,摆脱愤怒图拉男性,虽然令人困惑，如预期，劫匪似乎做的事情，直至情况不被采傀儡控制。 / N / N haneungunyo据的那一刻起指挥魔像被摧毁保护诺亚万卢比已经开始活动球探的报告。 / N / N赢得废墟的保护，但我们有理由紫胶辄没有办法，我不认为这是可以控制的魔像的。 / N / N，我必须完全中和魔像杀保护诺亚紫胶德kyurioh夺回我的。 / N / N <TC'163：21：21“文本”kyurioh扫雷非常困难“/>请杀死在<TC'163 :: 21 21”文本“保护诺亚百灵鸟”/>一个。,<TC'163：21：21“文本”愤怒男子图拉“/>请杀死。,成功的任务我更高兴的是复数更大的成功。我真的很感激。,红色头发的火山Kaswi对话,1205,0,44,0,0,1,1,54093,0,1,54093,0,0,54168,54015,2|4,44,99,0,0,0,0,0,0,0,540169,154169|450373|450374|450375|450376|450444,0
54170,1,QUT_Title_002356,QUT_Main_002356,QUT_Progress_002356,QUT_Finish_002356,QUT_Mini_002356,在kyurioh骚乱,矿业傀儡现有矿山具有相同的功能强大的比现有的傀儡。 kyurioh的/ N / N魔像扫雷全面运转之前再拿一开始就是为什么我们不需要做出一个强有力的理由比传统的傀儡。 / N / N研究<TC'163：21：21“文本”kyurioh扫雷普通难度“/>在<TC'163：21：21”文本“挖掘魔像克里奥'/>和<TC”163： 21:21“文本”的信条采矿魔像“杀/>和<TC'163：21：21'文本'把他们的核心”/>。,<TC'163：21：21'文本'一扔kyurioh“/>你确定你要帮助你做haejuji？,感谢您的同事的安全谁看了。,红色头发的火山Kaswi对话,1205,0,44,0,0,1,1,54093,0,1,54093,0,0,54165,54171,2|4,44,99,0,0,0,0,0,0,0,540170,154170,0
54171,1,QUT_Title_002357,QUT_Main_002357,QUT_Progress_002357,QUT_Finish_002357,QUT_Mini_002357,反叛收集竞选文宣,我正在itseumda tobeoldae拆迁中的一员。此外带路，也促使成分hamda。但是，我看到什么可疑的东西。 Kyurioh他提到，她来到之间的心和熊磨快点？我怎么打坏的家伙...... eotneunde纸mungchil失误。这份文件说，反政府武装操作deoran！ / N / N是不是一个人通过。 UD抓住它！ <TC'163：21：21“文本”一扔kyurioh'/>和治疗<TC'163：21：21“文本”反叛活动文件“/>让我们聚集！,<TC'163：21：21“文本”一扔kyurioh'/>和治疗<TC'163：21：21“文本”反叛活动文件“/>让我们聚集！,Yonom yonom。我终于抓住了！,流变学和对话的红头发火山,1205,0,44,0,0,1,1,54094,0,1,54094,0,0,54165,54172,2|4,44,99,0,0,0,0,0,0,0,540171,154171,0
54172,1,QUT_Title_002358,QUT_Main_002358,QUT_Progress_002358,QUT_Finish_002358,QUT_Mini_002358,文献传递业务,Seumda感到惊讶。根据该文件teurigo了我们的业务叛军拆除然后尝试正计划加入敌对岛屿和海浪红色的头发吹的火山洞穴。特里尼，谁知道有人下来。反正它惨败敌人IMDA形状和促进从山洞的东西。中尉<TC'163：21：21“文本”kaswi“/> jusipsyo告诉上帝！,Jusipsyo交付叛乱竞选文宣kaswi各位代表！,你的参与出席本有价值的信息。非常感谢！,红色头发的火山Kaswi对话,1205,0,44,0,0,1,1,54094,0,1,54093,0,0,54171,0,2|4,44,99,0,0,0,0,0,0,0,540172,154172,0
54173,1,QUT_Title_002359,QUT_Main_002359,QUT_Progress_002359,QUT_Finish_002359,QUT_Mini_002359,地震,EW！该地。手感松软的地上！这是如此罕见，很难过于频繁的地震最近。人们在地震中受伤很久之前有很多。如果你离开我热，它会令人信服加重损伤。材料的处理<TC'163：21：21“文本”诺克斯离开“/>你能告诉求？,材料的处理<TC'163：21：21“文本”诺克斯离开“/>你能告诉求？,谢谢大家！我很快就会治好！,虽然与淡红色的头发火山谈话,1205,0,44,0,0,1,1,54095,0,1,54095,0,0,54167,54175,2|4,44,99,0,0,0,0,0,0,0,540173,154173,0
54174,1,QUT_Title_002360,QUT_Main_002360,QUT_Progress_002360,QUT_Finish_002360,QUT_Mini_002360,净，防止落石,由于地震发生在我做出退学石头滚动在这里和那里。如果它是好的，到目前为止，即使房子落在代表.... EW。这是制止！我有一个简单的网可以承受的落石。 / N / N你听过<TC'163：21：21'文本'磨床志愿者“/> deondeyo有纺织品硬化剂就更难纤维？从球员<TC'163：21：21“文本”纺织品硬化剂“/>不能讨好所有的偷窃？,<TC'163：21：21'文本'磨床志愿者“/>从<TC'163：21：21”文本“纺织品硬化剂”/>不能讨好所有的偷窃？,这就是这个问题。我们怎样才能获得一些效果呢？,虽然与淡红色的头发火山谈话,1205,0,44,0,0,1,1,54095,0,1,54095,0,0,54167,54175,2|4,44,99,0,0,0,0,0,0,0,540174,154174,0
54175,1,QUT_Title_002361,QUT_Main_002361,QUT_Progress_002361,QUT_Finish_002361,QUT_Mini_002361,安装快车网,再配上纺织硬化剂<TC'163：21：21'文本'实验值网“/>已经到来。请安装在似乎陷入滚石的位置！,再配上纺织硬化剂<TC'163：21：21'文本'实验值网“/>已经到来。请安装在似乎陷入滚石的位置！,现在，我就别想在石头kkalrineun噩梦。,虽然与淡红色的头发火山谈话,1205,0,44,0,0,1,1,54095,0,1,54095,0,0,54173|54174,54176,2|4,44,99,0,0,25694,1,0,0,0,540175,154175,0
54176,1,QUT_Title_002362,QUT_Main_002362,QUT_Progress_002362,QUT_Finish_002362,QUT_Mini_002362,事实是，去不去？,现在的战士，我们的恐惧正在吞噬，居民将火山火。但是我们拆迁友好岛波和打击与他的嘴紧紧关闭anneyo不会说什么的友好关系。 / N / N，但我以前见过。吹岛预计创造的东西在洋葱敌人巨像我得意忘形火山持续的山谷。吹岛酋长<TC'163：21：21“文本”kansol“/>”会大概知道如果事情的。请访问他。,吹岛酋长<TC'163：21：21“文本”kansol“/>”会大概知道如果事情的。请访问他。,你要什么我来代替回答。有什么证据，该火山喷发是关系到我们？,Kansol交谈红发的火山,1205,0,45,0,0,1,1,54095,0,1,54097,0,0,54175,0,2|4,45,99,0,0,0,0,0,0,0,540176,154176,0
54177,1,QUT_Title_002363,QUT_Main_002363,QUT_Progress_002363,QUT_Finish_002363,QUT_Mini_002363,进入颈,这似乎死了喉咙烧。但是，伤口疼痛，热，这种热。而且不用担心地震。每一天，每一天吓坏了。的青睐。我喜欢喝冷火山露。 <TC'163：21：21“文本”露火山池“/>的消失<TC'163：21：21”文本“火山露”/>请求。如果颈部与它的轴线我觉得这会迫使我起死回生。,<TC'163：21：21“文本”露火山池“/>的消失<TC'163：21：21”文本“火山露”/>请求。如果颈部与它的轴线我觉得这会迫使我起死回生。,谢谢。寒露想做的事。,刘易斯和红发的火山对话,1205,0,44,0,0,1,1,54096,0,1,54096,0,0,54166,54179,2|4,44,99,0,0,0,0,0,0,0,540177,154177,0
54178,1,QUT_Title_002364,QUT_Main_002364,QUT_Progress_002364,QUT_Finish_002364,QUT_Mini_002364,破碎设备,我散了队伍作为一个惊喜，研磨悬浮志愿者游荡在战场上。也许就不会活着回来之前，从来没有一个朋友。 / N / N它救了他的命，但幸运的情况下，只是想疯了，因为狂暴之怒。他嘲讽了那些打我，我打破了我的设备。问题是，这些设备是将他的父亲刚刚去世的纪念。的青睐。 <TC'163：21：21'文本'磨床志愿者“/>请进球。请我报仇！,的青睐。 <TC'163：21：21'文本'磨床志愿者“/>请进球。请我报仇！,但摇摇欲坠的时候，是最宝贵的东西给我。谢谢。,刘易斯和红发的火山对话,1205,0,44,0,0,1,1,54096,0,1,54096,0,0,54177,54179,2|4,44,99,0,0,0,0,0,0,0,540178,154178,0
